cluster_location,community_area
Far North Side,OHARE
Far North Side,EDISON PARK
Far North Side,NORWOOD PARK
Far North Side,JEFFERSON PARK
Far North Side,FOREST GLEN
Far North Side,NORTH PARK
Far North Side,ALBANY PARK
Far North Side,LINCOLN SQUARE
Far North Side,WEST RIDGE
Far North Side,UPTOWN
Far North Side,EDGEWATER
Far North Side,ROGERS PARK
Northwest Side,DUNNING
Northwest Side,BELMONT CRAGIN
Northwest Side,MONTCLARE
Northwest Side,PORTAGE PARK
Northwest Side,HERMOSA
Northwest Side,IRVING PARK
North Side,LAKE VIEW
North Side,LOGAN SQUARE
North Side,AVONDALE
North Side,NORTH CENTER
North Side,LINCOLN PARK
West Side,AUSTIN
West Side,HUMBOLDT PARK
West Side,WEST GARFIELD PARK
West Side,EAST GARFIELD PARK
West Side,NORTH LAWNDALE
West Side,SOUTH LAWNDALE
West Side,LOWER WEST SIDE
West Side,NEAR WEST SIDE
West Side,WEST TOWN
Central ,NEAR NORTH SIDE
Central ,LOOP
Central ,NEAR SOUTH SIDE
Southwest Side,GARFIELD RIDGE
Southwest Side,CLEARING
Southwest Side,WEST LAWN
Southwest Side,WEST ELSDON
Southwest Side,ARCHER HEIGHTS
Southwest Side,GAGE PARK
Southwest Side,BRIGHTON PARK
Southwest Side,CHICAGO LAWN
Southwest Side,WEST ENGLEWOOD
Southwest Side,ENGLEWOOD
Southwest Side,NEW CITY
Southwest Side,MCKINLEY PARK
South Side,BRIDGEPORT
South Side,ARMOUR SQUARE
South Side,DOUGLAS
South Side,FULLER PARK
South Side,GRAND BOULEVARD
South Side,WASHINGTON PARK
South Side,GREATER GRAND CROSSING
South Side,SOUTH SHORE
South Side,WOODLAWN
South Side,HYDE PARK
South Side,KENWOOD
South Side,OAKLAND
Far Southwest Side,ASHBURN
Far Southwest Side,AUBURN GRESHAM
Far Southwest Side,BEVERLY
Far Southwest Side,WASHINGTON HEIGHTS
Far Southwest Side,MORGAN PARK
Far Southwest Side,MOUNT GREENWOOD
Far Southeast Side,CHATHAM
Far Southeast Side,AVALON PARK
Far Southeast Side,ROSELAND
Far Southeast Side,PULLMAN
Far Southeast Side,WEST PULLMAN
Far Southeast Side,BURNSIDE
Far Southeast Side,SOUTH DEERING
Far Southeast Side,RIVERDALE
Far Southeast Side,HEGEWISCH
Far Southeast Side,EAST SIDE
Far Southeast Side,CALUMET HEIGHTS
Far Southeast Side,SOUTH CHICAGO